candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r3@2000,score,40,10.35,5.75,14.8
control-r3@2000,kills,40,0,0,0
control-r3@2000,self_kills,40,-0.7,-0.825,-0.55
control-r3@2000,survived,40,0.7,0.55,0.825
control-r3@2000,collection_fraction,40,0.207,0.115,0.296
control-r3@4000,score,40,10.6,5.975,15.25
control-r3@4000,kills,40,0,0,0
control-r3@4000,self_kills,40,-0.725,-0.85,-0.575
control-r3@4000,survived,40,0.725,0.575,0.85
control-r3@4000,collection_fraction,40,0.212,0.1195,0.305
control-r3@6000,score,40,9.375,5.35,13.325
control-r3@6000,kills,40,0,0,0
control-r3@6000,self_kills,40,-0.575,-0.75,-0.375
control-r3@6000,survived,40,0.575,0.375,0.75
control-r3@6000,collection_fraction,40,0.1875,0.107,0.2665
control-r3@8000,score,40,12.95,8.05,17.675
control-r3@8000,kills,40,0,0,0
control-r3@8000,self_kills,40,-0.4,-0.575,-0.2
control-r3@8000,survived,40,0.4,0.2,0.575
control-r3@8000,collection_fraction,40,0.259,0.161,0.3535
control@2000 (pooled),score,40,11.2083,7.7083,14.4417
control@2000 (pooled),kills,40,0,0,0
control@2000 (pooled),self_kills,40,-0.65,-0.7917,-0.5
control@2000 (pooled),survived,40,0.65,0.5,0.7917
control@2000 (pooled),collection_fraction,40,0.2242,0.1542,0.2888
control@4000 (pooled),score,40,11.3917,7.9667,14.7083
control@4000 (pooled),kills,40,0,0,0
control@4000 (pooled),self_kills,40,-0.5333,-0.6833,-0.3833
control@4000 (pooled),survived,40,0.5333,0.3833,0.6833
control@4000 (pooled),collection_fraction,40,0.2278,0.1593,0.2942
control@6000 (pooled),score,40,9.0583,6.175,12.05
control@6000 (pooled),kills,40,0,0,0
control@6000 (pooled),self_kills,40,-0.525,-0.675,-0.3667
control@6000 (pooled),survived,40,0.525,0.3667,0.675
control@6000 (pooled),collection_fraction,40,0.1812,0.1235,0.241
control@8000 (pooled),score,40,15.725,12.6083,18.6833
control@8000 (pooled),kills,40,0,0,0
control@8000 (pooled),self_kills,40,-0.5167,-0.6667,-0.35
control@8000 (pooled),survived,40,0.5167,0.35,0.6667
control@8000 (pooled),collection_fraction,40,0.3145,0.2522,0.3737
halved-r1@2000,score,40,4.4,0.15,8.55
halved-r1@2000,kills,40,0,0,0
halved-r1@2000,self_kills,40,-0.7,-0.825,-0.55
halved-r1@2000,survived,40,0.7,0.55,0.825
halved-r1@2000,collection_fraction,40,0.088,0.003,0.171
halved-r1@4000,score,40,3.175,-0.9,7.4
halved-r1@4000,kills,40,0,0,0
halved-r1@4000,self_kills,40,-0.675,-0.825,-0.5
halved-r1@4000,survived,40,0.675,0.5,0.825
halved-r1@4000,collection_fraction,40,0.0635,-0.018,0.148
halved-r1@6000,score,40,6.3,1.55,10.85
halved-r1@6000,kills,40,0,0,0
halved-r1@6000,self_kills,40,-0.575,-0.75,-0.375
halved-r1@6000,survived,40,0.575,0.375,0.75
halved-r1@6000,collection_fraction,40,0.126,0.031,0.217
halved-r1@8000,score,40,6.75,1.75,11.875
halved-r1@8000,kills,40,0,0,0
halved-r1@8000,self_kills,40,-0.625,-0.775,-0.475
halved-r1@8000,survived,40,0.625,0.475,0.775
halved-r1@8000,collection_fraction,40,0.135,0.035,0.2375
halved-r2@2000,score,40,13.275,8.1,18.45
halved-r2@2000,kills,40,0,0,0
halved-r2@2000,self_kills,40,-0.5,-0.675,-0.325
halved-r2@2000,survived,40,0.5,0.325,0.675
halved-r2@2000,collection_fraction,40,0.2655,0.162,0.369
halved-r2@4000,score,40,14.7,9.2,20.3
halved-r2@4000,kills,40,0,0,0
halved-r2@4000,self_kills,40,-0.425,-0.625,-0.2
halved-r2@4000,survived,40,0.425,0.2,0.625
halved-r2@4000,collection_fraction,40,0.294,0.184,0.406
halved-r2@6000,score,40,6.425,0.775,12.35
halved-r2@6000,kills,40,0,0,0
halved-r2@6000,self_kills,40,-0.25,-0.425,-0.075
halved-r2@6000,survived,40,0.25,0.075,0.425
halved-r2@6000,collection_fraction,40,0.1285,0.0155,0.247
halved-r2@8000,score,40,8.425,4.125,12.65
halved-r2@8000,kills,40,0,0,0
halved-r2@8000,self_kills,40,-0.375,-0.55,-0.2
halved-r2@8000,survived,40,0.375,0.2,0.55
halved-r2@8000,collection_fraction,40,0.1685,0.0825,0.253
halved-r3@2000,score,40,10.3,5.525,15.225
halved-r3@2000,kills,40,0,0,0
halved-r3@2000,self_kills,40,-0.65,-0.825,-0.475
halved-r3@2000,survived,40,0.65,0.475,0.825
halved-r3@2000,collection_fraction,40,0.206,0.1105,0.3045
halved-r3@4000,score,40,13.45,9.55,17.65
halved-r3@4000,kills,40,0,0,0
halved-r3@4000,self_kills,40,-0.625,-0.775,-0.45
halved-r3@4000,survived,40,0.625,0.45,0.775
halved-r3@4000,collection_fraction,40,0.269,0.191,0.353
halved-r3@6000,score,40,9.6,4.625,14.875
halved-r3@6000,kills,40,0,0,0
halved-r3@6000,self_kills,40,-0.675,-0.825,-0.5
halved-r3@6000,survived,40,0.675,0.5,0.825
halved-r3@6000,collection_fraction,40,0.192,0.0925,0.2975
halved-r3@8000,score,40,13.125,8.4,18.125
halved-r3@8000,kills,40,0,0,0
halved-r3@8000,self_kills,40,-0.65,-0.8,-0.475
halved-r3@8000,survived,40,0.65,0.475,0.8
halved-r3@8000,collection_fraction,40,0.2625,0.168,0.3625
halved@2000 (pooled),score,40,9.325,5.7083,12.65
halved@2000 (pooled),kills,40,0,0,0
halved@2000 (pooled),self_kills,40,-0.6167,-0.7583,-0.4667
halved@2000 (pooled),survived,40,0.6167,0.4667,0.7583
halved@2000 (pooled),collection_fraction,40,0.1865,0.1142,0.253
halved@4000 (pooled),score,40,10.4417,7.075,13.7583
halved@4000 (pooled),kills,40,0,0,0
halved@4000 (pooled),self_kills,40,-0.575,-0.7167,-0.4167
halved@4000 (pooled),survived,40,0.575,0.4167,0.7167
halved@4000 (pooled),collection_fraction,40,0.2088,0.1415,0.2752
halved@6000 (pooled),score,40,7.4417,3.7417,10.9917
halved@6000 (pooled),kills,40,0,0,0
halved@6000 (pooled),self_kills,40,-0.5,-0.6333,-0.35
halved@6000 (pooled),survived,40,0.5,0.35,0.6333
halved@6000 (pooled),collection_fraction,40,0.1488,0.0748,0.2198
halved@8000 (pooled),score,40,9.4333,5.7083,13.0583
halved@8000 (pooled),kills,40,0,0,0
halved@8000 (pooled),self_kills,40,-0.55,-0.6917,-0.4
halved@8000 (pooled),survived,40,0.55,0.4,0.6917
halved@8000 (pooled),collection_fraction,40,0.1887,0.1142,0.2612
